layer,group,n_classes,n_samples,intra_obs,inter_obs,gdv_obs,rank,p_rank,n_perm,null_mean,null_sd,null_p2p5,null_p50,null_p97p5,classes_present,layer_idx,q_fdr_all,q_fdr_group
BERT-base_layer_01,agree,4,400,0.6550778932989407,0.7167640056006036,-0.0616861123016629,1,9.999000099990002e-05,10000,2.5696225757514078e-06,0.0005513249291027,-0.001194310092832,4.646486262428221e-05,0.0009534809606623,agree_on;agree_with;agree_that;agree_to,1,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_02,agree,4,400,0.6228766408765902,0.7279271041112793,-0.105050463234689,1,9.999000099990002e-05,10000,5.400763449180868e-06,0.0005735242094037,-0.0012487239318575,5.577229977574166e-05,0.0009828893722443,agree_on;agree_with;agree_that;agree_to,2,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_03,agree,4,400,0.5151037346340142,0.7565617057636177,-0.2414579711296034,1,9.999000099990002e-05,10000,1.606580301030008e-05,0.0009276112500063,-0.0021302100412945,0.0001479709102013,0.0014653010420183,agree_on;agree_with;agree_that;agree_to,3,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_04,agree,4,400,0.5030122822200714,0.7594623604641134,-0.256450078244042,1,9.999000099990002e-05,10000,1.542767996918057e-05,0.000985941311495,-0.0022909684352054,0.0001531680246751,0.0015409224360162,agree_on;agree_with;agree_that;agree_to,4,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_05,agree,4,400,0.5222703555503981,0.7550617539824656,-0.2327913984320674,1,9.999000099990002e-05,10000,1.3351354787272518e-05,0.0009135295969613,-0.0021802425993895,0.0001484581237021,0.0014154085349485,agree_on;agree_with;agree_that;agree_to,5,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_06,agree,4,400,0.5327851597079173,0.7528118448329343,-0.2200266851250169,1,9.999000099990002e-05,10000,1.2797457188479696e-05,0.0008802612306794,-0.0020751698078205,0.0001414836220574,0.0013505873795344,agree_on;agree_with;agree_that;agree_to,6,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_07,agree,4,400,0.5659199522003384,0.7447745032090352,-0.1788545510086967,1,9.999000099990002e-05,10000,1.1378156260870464e-05,0.000763292345773,-0.0017720062611071,0.0001187869719232,0.0012005599119741,agree_on;agree_with;agree_that;agree_to,7,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_08,agree,4,400,0.58402622676129,0.7395853251527028,-0.1555590983914127,1,9.999000099990002e-05,10000,8.485129590217513e-06,0.0007073644265014,-0.0016684973880644,9.577786240827702e-05,0.001122916985054,agree_on;agree_with;agree_that;agree_to,8,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_09,agree,4,400,0.6038977088638013,0.7344446219289724,-0.1305469130651711,1,9.999000099990002e-05,10000,6.834434115053864e-06,0.0006426732055328,-0.0015129137412673,8.409215123406496e-05,0.0010230519097602,agree_on;agree_with;agree_that;agree_to,9,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_10,agree,4,400,0.6162528013464269,0.731269312048685,-0.115016510702258,1,9.999000099990002e-05,10000,4.084302536024466e-06,0.0006058323329331,-0.001425819491496,8.189303872113964e-05,0.0009741216435828,agree_on;agree_with;agree_that;agree_to,10,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_11,agree,4,400,0.6198124284945283,0.7303395212028838,-0.1105270927083554,1,9.999000099990002e-05,10000,3.8955893215180506e-06,0.0005922269597767,-0.0013989123139155,8.07326382507639e-05,0.0009395551123996,agree_on;agree_with;agree_that;agree_to,11,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_12,agree,4,400,0.6212312370894835,0.7291695563340475,-0.1079383192445639,1,9.999000099990002e-05,10000,2.7421600268973334e-06,0.0005809599894859,-0.0013661498971175,7.963290943557799e-05,0.0009296047337045,agree_on;agree_with;agree_that;agree_to,12,9.999000099990002e-05,9.999000099990002e-05
