global_index,verb,row_in_verb,Number of hit,Text ID,Concordance line,Tagged concordance line,URL,Match-begin corpus position,Match-end corpus position,pos_tag,layer
12,agree_on,12,13,J6Y,"between the shareholders about the value . If the shareholders agree on a value , and do not refer the matter to the company","between_PRP the_AT0 shareholders_NN2 about_PRP the_AT0 value_NN1 ._PUN If_CJS the_AT0 shareholders_NN2 agree_VVB on_PRP-AVP a_AT0 value_NN1 ,_PUN and_CJC do_VDB not_XX0 refer_VVI the_AT0 matter_NN1 to_PRP the_AT0 company_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=12,94438189,94438192,agree_on_AT0,1
44,agree_on,44,45,CDC,3 ) hold a free election ; ( 4 ) agree on the constitution ; and ( 5 ) settle future relationship with Great,3_CRD )_PUR hold_VVB a_AT0 free_AJ0 election_NN1 ;_PUN (_PUL 4_CRD )_PUR agree_VVB on_PRP-AVP the_AT0 constitution_NN1 ;_PUN and_CJC (_PUL 5_CRD )_PUR settle_VVB future_AJ0 relationship_NN1 with_PRP Great_NP0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=44,29997906,29997909,agree_on_AT0,1
47,agree_on,47,48,ABF,is raised by Eastern Europe . The administration and Congress agree on the need to help the new or emerging democracies but disagree on,is_VBZ raised_VVN by_PRP Eastern_AJ0 Europe_NP0 ._PUN The_AT0 administration_NN1 and_CJC Congress_NN1 agree_VVB on_PRP-AVP the_AT0 need_NN1 to_TO0 help_VVI the_AT0 new_AJ0 or_CJC emerging_AJ0-VVG democracies_NN2 but_CJC disagree_VVB on_AVP-PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=47,5901640,5901643,agree_on_AT0,1
55,agree_on,55,56,CAH,"six months of the request , the parties can not agree on an arbitration procedure , either party may refer the dispute to the","six_CRD months_NN2 of_PRF the_AT0 request_NN1 ,_PUN the_AT0 parties_NN2 can_VM0 not_XX0 agree_VVI on_PRP-AVP an_AT0 arbitration_NN1 procedure_NN1 ,_PUN either_DT0 party_NN1 may_VM0 refer_VVI the_AT0 dispute_NN1 to_PRP the_AT0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=55,26114861,26114864,agree_on_AT0,1
96,agree_on,96,97,FCG,"proceedings before the family proceedings court , where the parties agree on the order which they seek , it would be of assistance to","proceedings_NN2 before_PRP-CJS the_AT0 family_NN1 proceedings_NN2 court_NN1-VVB ,_PUN where_CJS-AVQ the_AT0 parties_NN2 agree_VVB on_PRP-AVP the_AT0 order_NN1 which_DTQ they_PNP seek_VVB ,_PUN it_PNP would_VM0 be_VBI of_PRF assistance_NN1 to_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=96,54018008,54018011,agree_on_AT0,1
104,agree_that,4,5,J1C,and Macca looking as if they have orgasamed . I agree that the crossword is also quite do-able cf other spreads . From,and_CJC Macca_NP0 looking_VVG as_PRP if_CJS they_PNP have_VHB orgasamed_VVN ._PUN I_PNP agree_VVB that_CJT the_AT0 crossword_NN1 is_VBZ also_AV0 quite_AV0 do-able_AJ0 cf_VVB other_AJ0-NN1 spreads_NN2-VVZ ._PUN From_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=4,92619325,92619327,agree_that_AT0,1
117,agree_that,17,18,CEJ,Evangelists Believe about the Death of Jesus All the Evangelists agree that the death of Jesus was necessary . All three understand the,Evangelists_NN2 Believe_VVB about_PRP-AVP the_AT0 Death_NN1 of_PRF Jesus_NP0 All_DT0 the_AT0 Evangelists_NN2 agree_VVB that_CJT the_AT0 death_NN1 of_PRF Jesus_NP0 was_VBD necessary_AJ0 ._PUN All_DT0 three_CRD understand_VVB the_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=17,31318453,31318455,agree_that_AT0,1
127,agree_that,27,28,HHV,"factions , together , represent a Government ? Does she agree that the factions that are fighting in the south have no claim","factions_NN2 ,_PUN together_AV0 ,_PUN represent_VVB a_AT0 Government_NN1 ?_PUN Does_VDZ she_PNP agree_VVI that_CJT the_AT0 factions_NN2 that_CJT are_VBB fighting_VVG in_PRP the_AT0 south_NN1 have_VHB no_AT0 claim_NN1-VVB",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=27,78566998,78567000,agree_that_AT0,1
169,agree_that,69,70,ABC,"of a pipless , unripe melon . Many bio-acoustic experts agree that the echolocation clicks are created by implosive movements of air in","of_PRF a_AT0 pipless_AJ0 ,_PUN unripe_AJ0 melon_NN1 ._PUN Many_DT0 bio-acoustic_AJ0 experts_NN2 agree_VVB that_CJT the_AT0 echolocation_NN1 clicks_NN2 are_VBB created_VVN by_PRP implosive_AJ0 movements_NN2 of_PRF air_NN1 in_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=69,5716016,5716018,agree_that_AT0,1
189,agree_that,89,90,HTE,"unfavourable the unemployment situation may be , most people would agree that a degree in any subject is a worthwhile investment in terms","unfavourable_AJ0 the_AT0 unemployment_NN1 situation_NN1 may_VM0 be_VBI ,_PUN most_DT0 people_NN0 would_VM0 agree_VVI that_CJT a_AT0 degree_NN1 in_PRP any_DT0 subject_NN1 is_VBZ a_AT0 worthwhile_AJ0 investment_NN1 in_PRP terms_NN2",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=89,86688386,86688388,agree_that_AT0,1
202,agree_to,2,3,B73,the November meeting ? These &lsquo; leading experts &rsquo; did agree to recommend lower doses for elderly patients 7 ½ months later .,the_AT0 November_NP0 meeting_NN1 ?_PUN These_DT0 &lsquo;_PUQ leading_AJ0 experts_NN2 &rsquo;_PUQ did_VDD agree_VVI to_TO0 recommend_VVI lower_AJC doses_NN2 for_PRP elderly_AJ0 patients_NN2 7_CRD ½_UNC months_NN2 later_AV0 ._PUN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=2,19466121,19466123,agree_to_VVI,1
214,agree_to,14,15,J7E,( known as an open offer and clawback ) underwriters agree to purchase the requisite number of consideration shares from accepting shareholders at,(_PUL known_VVN as_PRP an_AT0 open_AJ0 offer_NN1 and_CJC clawback_NN1 )_PUR underwriters_NN2 agree_VVB to_TO0 purchase_VVI the_AT0 requisite_AJ0-NN1 number_NN1 of_PRF consideration_NN1 shares_NN2 from_PRP accepting_AJ0 shareholders_NN2 at_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=14,94989660,94989662,agree_to_VVI,1
242,agree_to,42,43,KRT,", if the Council agree , if members of Council agree to make the bye-law , then it would have to be referred",",_PUN if_CJS the_AT0 Council_NN1 agree_VVB ,_PUN if_CJS members_NN2 of_PRF Council_NN1 agree_VVB to_TO0 make_VVI the_AT0 bye-law_NN1 ,_PUN then_AV0 it_PNP would_VM0 have_VHI to_TO0 be_VBI referred_VVN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=42,111636108,111636110,agree_to_VVI,1
255,agree_to,55,56,A89,secure agreement from aid agencies operating in mujahedin areas to agree to support an anti-poppy clause in all future aid projects . The,secure_VVI agreement_NN1 from_PRP aid_NN1 agencies_NN2 operating_VVG in_PRP mujahedin_NN1 areas_NN2 to_TO0 agree_VVI to_TO0 support_VVI an_AT0 anti-poppy_NN1-AJ0 clause_NN1 in_PRP all_DT0 future_AJ0 aid_NN1 projects_NN2 ._PUN The_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=55,4538895,4538897,agree_to_VVI,1
265,agree_to,65,66,JXT,&rsquo; &lsquo; I did n't say that . I 'll agree to stay when you lift these stupid conditions . &rsquo; Guido shook,&rsquo;_PUQ &lsquo;_PUQ I_PNP did_VDD n't_XX0 say_VVI that_DT0 ._PUN I_PNP 'll_VM0 agree_VVI to_TO0 stay_VVI when_CJS you_PNP lift_VVB these_DT0 stupid_AJ0 conditions_NN2 ._PUN &rsquo;_PUQ Guido_NP0 shook_VVD,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=65,96995611,96995613,agree_to_VVI,1
323,agree_with,23,24,HWS,9 m Tc-DTPA and 5 1 Cr-EDTA . Our findings agree with a previous study that showed an increased absorption in active ulcerative,9_CRD m_CRD Tc-DTPA_AJ0-NN1 and_CJC 5_CRD 1_CRD Cr-EDTA_NN1 ._PUN Our_DPS findings_NN2 agree_VVB with_PRP a_AT0 previous_AJ0 study_NN1 that_CJT showed_VVD an_AT0 increased_AJ0 absorption_NN1 in_PRP active_AJ0 ulcerative_AJ0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=23,89719836,89719838,agree_with_AT0,1
