model,layer,layer_label,verb_group,GDV_obs,Boot_mean,SD,CI_lower,CI_upper
BERT-base,1,BERT-base_layer_01,agree,-0.062,-0.068,0.0023,-0.073,-0.064
BERT-base,1,BERT-base_layer_01,all,-0.356,-0.36,0.0013,-0.363,-0.358
BERT-base,1,BERT-base_layer_01,come,-0.09,-0.096,0.0027,-0.102,-0.091
BERT-base,1,BERT-base_layer_01,give,-0.098,-0.105,0.0021,-0.109,-0.1
BERT-base,2,BERT-base_layer_02,agree,-0.105,-0.111,0.0028,-0.116,-0.106
BERT-base,2,BERT-base_layer_02,all,-0.347,-0.351,0.0015,-0.354,-0.348
BERT-base,2,BERT-base_layer_02,come,-0.138,-0.144,0.0034,-0.151,-0.138
BERT-base,2,BERT-base_layer_02,give,-0.163,-0.169,0.0026,-0.173,-0.163
BERT-base,3,BERT-base_layer_03,agree,-0.241,-0.247,0.0043,-0.255,-0.238
BERT-base,3,BERT-base_layer_03,all,-0.408,-0.411,0.002,-0.415,-0.407
BERT-base,3,BERT-base_layer_03,come,-0.236,-0.241,0.0047,-0.251,-0.231
BERT-base,3,BERT-base_layer_03,give,-0.305,-0.31,0.0039,-0.317,-0.302
BERT-base,4,BERT-base_layer_04,agree,-0.256,-0.262,0.0046,-0.27,-0.253
BERT-base,4,BERT-base_layer_04,all,-0.369,-0.373,0.0021,-0.377,-0.369
BERT-base,4,BERT-base_layer_04,come,-0.191,-0.196,0.0045,-0.205,-0.187
BERT-base,4,BERT-base_layer_04,give,-0.288,-0.293,0.0041,-0.301,-0.285
BERT-base,5,BERT-base_layer_05,agree,-0.233,-0.238,0.0043,-0.246,-0.23
BERT-base,5,BERT-base_layer_05,all,-0.32,-0.324,0.002,-0.328,-0.32
BERT-base,5,BERT-base_layer_05,come,-0.133,-0.138,0.0043,-0.147,-0.13
BERT-base,5,BERT-base_layer_05,give,-0.236,-0.241,0.0037,-0.249,-0.234
BERT-base,6,BERT-base_layer_06,agree,-0.22,-0.225,0.0043,-0.233,-0.217
BERT-base,6,BERT-base_layer_06,all,-0.283,-0.287,0.002,-0.291,-0.284
BERT-base,6,BERT-base_layer_06,come,-0.102,-0.108,0.0043,-0.117,-0.1
BERT-base,6,BERT-base_layer_06,give,-0.19,-0.196,0.0034,-0.203,-0.189
BERT-base,7,BERT-base_layer_07,agree,-0.179,-0.184,0.0041,-0.192,-0.177
BERT-base,7,BERT-base_layer_07,all,-0.236,-0.241,0.002,-0.245,-0.237
BERT-base,7,BERT-base_layer_07,come,-0.083,-0.089,0.0042,-0.098,-0.081
BERT-base,7,BERT-base_layer_07,give,-0.155,-0.161,0.0032,-0.167,-0.154
BERT-base,8,BERT-base_layer_08,agree,-0.156,-0.161,0.0039,-0.169,-0.154
BERT-base,8,BERT-base_layer_08,all,-0.194,-0.2,0.0019,-0.203,-0.196
BERT-base,8,BERT-base_layer_08,come,-0.07,-0.076,0.0041,-0.084,-0.068
BERT-base,8,BERT-base_layer_08,give,-0.118,-0.124,0.003,-0.13,-0.118
BERT-base,9,BERT-base_layer_09,agree,-0.131,-0.137,0.0037,-0.144,-0.13
BERT-base,9,BERT-base_layer_09,all,-0.161,-0.167,0.0018,-0.17,-0.163
BERT-base,9,BERT-base_layer_09,come,-0.058,-0.065,0.0038,-0.072,-0.057
BERT-base,9,BERT-base_layer_09,give,-0.097,-0.103,0.0028,-0.109,-0.098
BERT-base,10,BERT-base_layer_10,agree,-0.115,-0.121,0.0036,-0.129,-0.114
BERT-base,10,BERT-base_layer_10,all,-0.142,-0.148,0.0017,-0.151,-0.145
BERT-base,10,BERT-base_layer_10,come,-0.055,-0.061,0.0036,-0.068,-0.054
BERT-base,10,BERT-base_layer_10,give,-0.083,-0.09,0.0025,-0.094,-0.085
BERT-base,11,BERT-base_layer_11,agree,-0.111,-0.117,0.0036,-0.124,-0.11
BERT-base,11,BERT-base_layer_11,all,-0.141,-0.146,0.0017,-0.15,-0.143
BERT-base,11,BERT-base_layer_11,come,-0.052,-0.059,0.0035,-0.066,-0.052
BERT-base,11,BERT-base_layer_11,give,-0.078,-0.085,0.0024,-0.089,-0.08
BERT-base,12,BERT-base_layer_12,agree,-0.108,-0.114,0.0036,-0.121,-0.107
BERT-base,12,BERT-base_layer_12,all,-0.143,-0.149,0.0017,-0.152,-0.145
BERT-base,12,BERT-base_layer_12,come,-0.048,-0.054,0.0032,-0.061,-0.048
BERT-base,12,BERT-base_layer_12,give,-0.078,-0.084,0.0025,-0.089,-0.08
