layer,group,n_classes,n_samples,intra_obs,inter_obs,gdv_obs,rank,p_rank,n_perm,null_mean,null_sd,null_p2p5,null_p50,null_p97p5,classes_present,layer_idx,q_fdr_all,q_fdr_group
CxG_layer_01_2-10000,agree,4,400,0.6899530441823456,0.7070332131401776,-0.017080168957832,1,9.999000099990002e-05,10000,5.8897954438203705e-06,0.0004992137369524,-0.0010897533472536,5.3416149132752525e-05,0.0008502554336965,agree_on;agree_with;agree_that;agree_to,1,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_02_2-10000,agree,4,400,0.6862389536343044,0.7098275500420635,-0.023588596407759,1,9.999000099990002e-05,10000,3.224093514067381e-06,0.0004333272469458,-0.0009308696068476,3.841974794585789e-05,0.0007587480762274,agree_on;agree_with;agree_that;agree_to,2,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_03_2-10000,agree,4,400,0.6866518165065026,0.7090518469896405,-0.0224000304831378,1,9.999000099990002e-05,10000,2.051891987799969e-06,0.0004605633004353,-0.0010084677801805,4.161054493950387e-05,0.0008026487316669,agree_on;agree_with;agree_that;agree_to,3,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_04_2-10000,agree,4,400,0.6863294900612484,0.7099167888049812,-0.0235872987437327,1,9.999000099990002e-05,10000,4.86878827141806e-06,0.0004743409121176,-0.0010152396359617,4.300131510920455e-05,0.0008165324651517,agree_on;agree_with;agree_that;agree_to,4,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_05_2-10000,agree,4,400,0.6573625851994046,0.7190203008065716,-0.0616577156071669,1,9.999000099990002e-05,10000,7.5919657617656095e-06,0.0004985705834498,-0.0011051460038707,5.058819236688345e-05,0.0008520668520543,agree_on;agree_with;agree_that;agree_to,5,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_06_2-10000,agree,4,400,0.5937171746660677,0.7382150939773419,-0.1444979193112743,1,9.999000099990002e-05,10000,1.1894555188934876e-05,0.0006424647572982,-0.0014791276951345,8.442409974342437e-05,0.001045144154739,agree_on;agree_with;agree_that;agree_to,6,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_07_2-10000,agree,4,400,0.5795745109733804,0.7416703296838644,-0.162095818710484,1,9.999000099990002e-05,10000,1.3333930001163567e-05,0.0006890731794943,-0.0015921595766605,0.0001057838561681,0.0010806843159501,agree_on;agree_with;agree_that;agree_to,7,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_08_2-10000,agree,4,400,0.6007690928113183,0.7360311654634205,-0.1352620726521022,1,9.999000099990002e-05,10000,1.1696802583871505e-05,0.0006016869703831,-0.0013831542156619,7.946995278640822e-05,0.0009707313937058,agree_on;agree_with;agree_that;agree_to,8,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_09_2-10000,agree,4,400,0.6214857916629872,0.7308491690332604,-0.1093633773702731,1,9.999000099990002e-05,10000,1.010819718799398e-05,0.0005084039314019,-0.0011571298113866,6.628515458191241e-05,0.0008334981537204,agree_on;agree_with;agree_that;agree_to,9,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_10_2-10000,agree,4,400,0.6214857916629872,0.7308491690332604,-0.1093633773702731,1,9.999000099990002e-05,10000,1.010819718799398e-05,0.0005084039314019,-0.0011571298113866,6.628515458191241e-05,0.0008334981537204,agree_on;agree_with;agree_that;agree_to,10,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_11_2-10000,agree,4,400,0.6289500824803785,0.7280596178268346,-0.099109535346456,1,9.999000099990002e-05,10000,9.000852520674078e-06,0.0004748707301093,-0.00107746478938,6.0871039735413656e-05,0.0007827632375846,agree_on;agree_with;agree_that;agree_to,11,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_12_2-10000,agree,4,400,0.6350454501363484,0.7252369658787389,-0.0901915157423905,1,9.999000099990002e-05,10000,9.242361595155217e-06,0.000449753582299,-0.0010098111344865,5.830948009373055e-05,0.000745054654946,agree_on;agree_with;agree_that;agree_to,12,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_01_2-10000,all,11,1092,0.3767145107499878,0.7056806896122202,-0.3289661788622324,1,9.999000099990002e-05,10000,-1.147722071653308e-05,0.000922913567769,-0.0020595600810704,8.061871158292761e-05,0.0015218584567616,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,1,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_02_2-10000,all,11,1092,0.4318127496129419,0.7102063150406672,-0.2783935654277253,1,9.999000099990002e-05,10000,-9.587061813245049e-06,0.0007815637367322,-0.0017346187366075,7.164472103817685e-05,0.0012858915018386,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,2,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_03_2-10000,all,11,1092,0.4584821614428522,0.711522221300252,-0.2530400598573998,1,9.999000099990002e-05,10000,-8.502194346591862e-06,0.0007136994616641,-0.001585096344517,6.22609331341875e-05,0.0011881318234959,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,3,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_04_2-10000,all,11,1092,0.4775120457553706,0.7121772443336102,-0.2346651985782395,1,9.999000099990002e-05,10000,-7.891328714976403e-06,0.0006612043425837,-0.0014743587573648,5.643117300854758e-05,0.001114094714207,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,4,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_05_2-10000,all,11,1092,0.4591333867954671,0.715036838208975,-0.2559034514135079,1,9.999000099990002e-05,10000,-7.431380010668817e-06,0.0006425955378521,-0.0014146144181712,4.8118974478720606e-05,0.0010757432023097,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,5,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_06_2-10000,all,11,1092,0.4463124871417873,0.7199198234291274,-0.2736073362873401,1,9.999000099990002e-05,10000,-6.711479763565639e-06,0.0005692212399799,-0.0012487479315062,4.11760608435514e-05,0.000966536590013,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,6,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_07_2-10000,all,11,1092,0.4674963303642354,0.7210427058173574,-0.253546375453122,1,9.999000099990002e-05,10000,-6.5405396846981125e-06,0.0004891593385029,-0.0010733200688689,3.144157964242078e-05,0.000831134896487,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,7,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_08_2-10000,all,11,1092,0.5141988380028112,0.7191758808024772,-0.204977042799666,1,9.999000099990002e-05,10000,-5.160637001038448e-06,0.0003985703773019,-0.0008651753524081,2.3891423039510237e-05,0.0006928398451422,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,8,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_09_2-10000,all,11,1092,0.5625850324536846,0.7171933513717957,-0.1546083189181111,1,9.999000099990002e-05,10000,-2.7359521794745413e-06,0.0003031661248538,-0.000656360776426,1.956643021369569e-05,0.0005317917566864,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,9,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_10_2-10000,all,11,1092,0.5625850324536846,0.7171933513717957,-0.1546083189181111,1,9.999000099990002e-05,10000,-2.7359521794745413e-06,0.0003031661248538,-0.000656360776426,1.956643021369569e-05,0.0005317917566864,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,10,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_11_2-10000,all,11,1092,0.5710471127086723,0.7163077210956273,-0.1452606083869551,1,9.999000099990002e-05,10000,-2.645175850264533e-06,0.0002886595092357,-0.0006182727479205,1.7648443426262124e-05,0.0005021954842268,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,11,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_12_2-10000,all,11,1092,0.5795997455798959,0.7145774399542854,-0.1349776943743894,1,9.999000099990002e-05,10000,-2.4780175821991136e-06,0.0002759963868369,-0.000592874177205,1.7009082389302797e-05,0.000481006188422,agree_on;agree_with;agree_that;agree_to;come_back;come_in;come_out;give_up;give_in;give_out;give_away,12,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_01_2-10000,come,3,300,0.6763338947507885,0.7152423261927654,-0.0389084314419768,1,9.999000099990002e-05,10000,-1.528882249481986e-07,0.0006683076491316,-0.0015097593323511,7.276069762108666e-05,0.0010801285624465,come_back;come_in;come_out,1,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_02_2-10000,come,3,300,0.6883991859217371,0.7117155391495901,-0.0233163532278529,1,9.999000099990002e-05,10000,3.08936465083746e-06,0.0005563924253168,-0.0012460893031558,6.072355612723529e-05,0.0009296533729791,come_back;come_in;come_out,2,9.999000099990002e-05,9.999000099990002e-05
