model,layer,layer_label,verb_group,GDV_obs,Boot_mean,SD,CI_lower,CI_upper
CxG-BERT (2-10000),1,CxG_layer_01_2-10000,agree,-0.017,-0.024,0.0014,-0.027,-0.021
CxG-BERT (2-10000),1,CxG_layer_01_2-10000,all,-0.329,-0.333,0.001,-0.335,-0.331
CxG-BERT (2-10000),1,CxG_layer_01_2-10000,come,-0.039,-0.046,0.0018,-0.049,-0.042
CxG-BERT (2-10000),1,CxG_layer_01_2-10000,give,-0.041,-0.048,0.0017,-0.052,-0.045
CxG-BERT (2-10000),2,CxG_layer_02_2-10000,agree,-0.024,-0.03,0.0019,-0.034,-0.027
CxG-BERT (2-10000),2,CxG_layer_02_2-10000,all,-0.278,-0.283,0.0009,-0.285,-0.281
CxG-BERT (2-10000),2,CxG_layer_02_2-10000,come,-0.023,-0.03,0.0017,-0.034,-0.027
CxG-BERT (2-10000),2,CxG_layer_02_2-10000,give,-0.03,-0.037,0.0016,-0.04,-0.034
CxG-BERT (2-10000),3,CxG_layer_03_2-10000,agree,-0.022,-0.029,0.002,-0.033,-0.025
CxG-BERT (2-10000),3,CxG_layer_03_2-10000,all,-0.253,-0.258,0.001,-0.26,-0.256
CxG-BERT (2-10000),3,CxG_layer_03_2-10000,come,-0.02,-0.027,0.0017,-0.03,-0.023
CxG-BERT (2-10000),3,CxG_layer_03_2-10000,give,-0.025,-0.032,0.0016,-0.035,-0.029
CxG-BERT (2-10000),4,CxG_layer_04_2-10000,agree,-0.024,-0.03,0.0023,-0.035,-0.026
CxG-BERT (2-10000),4,CxG_layer_04_2-10000,all,-0.235,-0.24,0.0011,-0.242,-0.237
CxG-BERT (2-10000),4,CxG_layer_04_2-10000,come,-0.018,-0.025,0.0019,-0.029,-0.022
CxG-BERT (2-10000),4,CxG_layer_04_2-10000,give,-0.023,-0.03,0.0019,-0.034,-0.026
CxG-BERT (2-10000),5,CxG_layer_05_2-10000,agree,-0.062,-0.068,0.0027,-0.073,-0.063
CxG-BERT (2-10000),5,CxG_layer_05_2-10000,all,-0.256,-0.261,0.0014,-0.263,-0.258
CxG-BERT (2-10000),5,CxG_layer_05_2-10000,come,-0.049,-0.056,0.0021,-0.06,-0.052
CxG-BERT (2-10000),5,CxG_layer_05_2-10000,give,-0.083,-0.09,0.0025,-0.095,-0.085
CxG-BERT (2-10000),6,CxG_layer_06_2-10000,agree,-0.144,-0.15,0.0035,-0.157,-0.144
CxG-BERT (2-10000),6,CxG_layer_06_2-10000,all,-0.274,-0.278,0.0018,-0.282,-0.275
CxG-BERT (2-10000),6,CxG_layer_06_2-10000,come,-0.085,-0.092,0.0027,-0.097,-0.086
CxG-BERT (2-10000),6,CxG_layer_06_2-10000,give,-0.153,-0.159,0.0032,-0.165,-0.153
CxG-BERT (2-10000),7,CxG_layer_07_2-10000,agree,-0.162,-0.168,0.0037,-0.175,-0.16
CxG-BERT (2-10000),7,CxG_layer_07_2-10000,all,-0.254,-0.258,0.002,-0.263,-0.254
CxG-BERT (2-10000),7,CxG_layer_07_2-10000,come,-0.1,-0.106,0.0029,-0.112,-0.101
CxG-BERT (2-10000),7,CxG_layer_07_2-10000,give,-0.151,-0.157,0.0033,-0.164,-0.151
CxG-BERT (2-10000),8,CxG_layer_08_2-10000,agree,-0.135,-0.141,0.0034,-0.148,-0.135
CxG-BERT (2-10000),8,CxG_layer_08_2-10000,all,-0.205,-0.21,0.0019,-0.214,-0.206
CxG-BERT (2-10000),8,CxG_layer_08_2-10000,come,-0.078,-0.084,0.0028,-0.09,-0.079
CxG-BERT (2-10000),8,CxG_layer_08_2-10000,give,-0.125,-0.131,0.0032,-0.137,-0.125
CxG-BERT (2-10000),9,CxG_layer_09_2-10000,agree,-0.109,-0.115,0.0029,-0.121,-0.11
CxG-BERT (2-10000),9,CxG_layer_09_2-10000,all,-0.155,-0.16,0.0015,-0.163,-0.157
CxG-BERT (2-10000),9,CxG_layer_09_2-10000,come,-0.061,-0.068,0.0025,-0.073,-0.063
CxG-BERT (2-10000),9,CxG_layer_09_2-10000,give,-0.091,-0.097,0.0022,-0.101,-0.093
CxG-BERT (2-10000),10,CxG_layer_10_2-10000,agree,-0.109,-0.115,0.0029,-0.121,-0.11
CxG-BERT (2-10000),10,CxG_layer_10_2-10000,all,-0.155,-0.16,0.0015,-0.163,-0.157
CxG-BERT (2-10000),10,CxG_layer_10_2-10000,come,-0.061,-0.068,0.0025,-0.073,-0.063
CxG-BERT (2-10000),10,CxG_layer_10_2-10000,give,-0.091,-0.097,0.0022,-0.101,-0.093
CxG-BERT (2-10000),11,CxG_layer_11_2-10000,agree,-0.099,-0.105,0.0028,-0.111,-0.1
CxG-BERT (2-10000),11,CxG_layer_11_2-10000,all,-0.145,-0.151,0.0015,-0.154,-0.148
CxG-BERT (2-10000),11,CxG_layer_11_2-10000,come,-0.055,-0.061,0.0024,-0.066,-0.057
CxG-BERT (2-10000),11,CxG_layer_11_2-10000,give,-0.084,-0.09,0.0021,-0.094,-0.086
CxG-BERT (2-10000),12,CxG_layer_12_2-10000,agree,-0.09,-0.096,0.0027,-0.102,-0.091
CxG-BERT (2-10000),12,CxG_layer_12_2-10000,all,-0.135,-0.141,0.0015,-0.144,-0.138
CxG-BERT (2-10000),12,CxG_layer_12_2-10000,come,-0.05,-0.056,0.0023,-0.061,-0.052
CxG-BERT (2-10000),12,CxG_layer_12_2-10000,give,-0.075,-0.082,0.0021,-0.086,-0.078
